Nodes,X,Y,PacketSize,Rate,PacketsSent,PacketsReceived,PacketLoss,PacketDeliveryRatio,AvgDelay,Throughput,AvgJitter,Congestion
8,450,420,880,9,959018,511287,447731,53.31,3.5e-05,20942444.32,0.000176,1
10,450,568,634,4,699092,420686,278406,60.18,7e-05,17231494.83,0.000214,0
44,502,595,788,2,1152973,925766,227207,80.29,0.000226,37919378.99,9.7e-05,0
25,498,466,859,6,1835785,1016881,818904,55.39,3.7e-05,41651573.19,8.9e-05,1
33,527,551,797,4,1621298,1026858,594440,63.34,7.5e-05,42060300.88,8.8e-05,0
42,523,560,730,7,3940105,2421133,1518972,61.45,3.7e-05,99169677.11,3.7e-05,1
20,541,450,635,5,1722045,957449,764596,55.6,3.2e-05,39217371.05,9.4e-05,1
21,523,524,833,2,549978,338456,211522,61.54,0.000163,13863525.84,0.000266,0
41,463,571,659,1,670065,531017,139048,79.25,0.000304,21750818.04,0.000169,0
43,406,545,769,10,5860931,3247240,2613691,55.4,3.2e-05,133007643.9,2.8e-05,1
20,519,554,768,1,331455,209657,121798,63.25,0.000396,8587779.41,0.000429,0
37,553,542,636,9,5231068,2989363,2241705,57.15,2.1e-05,122444356.23,3e-05,1
32,516,576,942,1,394278,270368,123910,68.57,0.000365,11074786.02,0.000333,0
28,586,549,913,9,2648594,1636456,1012138,61.79,2.6e-05,67029247.29,5.5e-05,0
39,493,573,849,6,2740251,1646355,1093896,60.08,5.1e-05,67434867.97,5.5e-05,0
31,456,549,772,9,3715495,2072318,1643177,55.78,2.7e-05,84882619.02,4.3e-05,1
10,572,580,940,9,1005917,587099,418818,58.36,3e-05,24047705.77,0.000153,0
20,529,433,900,6,1497588,808575,689013,53.99,3.4e-05,33119232.0,0.000111,1
50,460,570,633,1,846078,807073,39005,95.39,0.000346,33058299.89,0.000112,0
7,480,455,841,5,442839,253621,189218,57.27,9.6e-05,10388405.98,0.000355,0
20,441,560,726,3,950428,533572,416856,56.14,7.6e-05,21855121.58,0.000169,0
38,442,593,788,5,2184179,1522241,661938,69.69,6.8e-05,62351144.06,5.9e-05,0
40,415,420,798,2,1073730,771650,302080,71.87,0.000198,31607269.17,0.000117,0
25,485,523,608,1,489725,303933,185792,62.06,0.000283,12449250.41,0.000296,0
31,578,515,910,5,1859670,993926,865744,53.45,3.5e-05,40711309.52,9.1e-05,1
21,471,568,892,6,1481475,818594,662881,55.26,3.7e-05,33529707.92,0.00011,1
48,574,554,954,5,2351263,1666775,684488,70.89,0.0001,68271362.2,5.4e-05,0
8,478,441,626,9,1342954,713111,629843,53.1,2.8e-05,29209054.05,0.000126,1
25,556,473,541,6,2868522,1582959,1285563,55.18,2.1e-05,64838131.04,5.7e-05,1
35,416,531,805,8,3590529,1998382,1592147,55.66,2.5e-05,81853865.87,4.5e-05,1
42,573,558,731,7,3977190,2410153,1567037,60.6,3.5e-05,98719956.15,3.7e-05,1
25,481,550,817,10,3135217,1738172,1397045,55.44,2.4e-05,71195925.38,5.2e-05,1
32,423,520,960,10,3632006,1972461,1659545,54.31,2.7e-05,80792292.6,4.6e-05,1
50,419,598,650,7,5198064,3322909,1875155,63.93,5.5e-05,136107174.14,2.7e-05,1
43,595,456,938,2,953759,700049,253710,73.4,0.000211,28674222.38,0.000129,0
41,489,409,999,6,2544832,1538000,1006832,60.44,8.3e-05,62996576.62,5.9e-05,0
19,529,539,745,5,1352728,746039,606689,55.15,4.2e-05,30557879.37,0.000121,1
13,452,441,517,5,1357586,730311,627275,53.79,3.9e-05,29913722.53,0.000123,1
29,595,500,674,7,2860539,1730514,1130025,60.5,2.6e-05,70882016.32,5.2e-05,0
19,483,466,842,8,1865412,1030283,835129,55.23,3e-05,42200509.42,8.7e-05,1
24,553,465,835,6,1769345,1045206,724139,59.07,3.6e-05,42811781.18,8.6e-05,0
12,550,593,916,7,813736,565382,248354,69.48,3.6e-05,23158048.98,0.000159,0
49,493,413,522,8,7468814,4433877,3034937,59.37,4.1e-05,181611755.22,2e-05,1
31,568,413,691,5,2342924,1321187,1021737,56.39,4e-05,54116262.3,6.8e-05,0
9,401,415,708,9,1191627,632598,559029,53.09,3.1e-05,25911265.97,0.000142,1
24,537,412,696,2,786908,463575,323333,58.91,0.000118,18988337.14,0.000194,0
17,540,465,558,5,1543111,881235,661876,57.11,3.3e-05,36095435.03,0.000102,0
24,409,571,905,7,1872792,1122401,750391,59.93,3.6e-05,45973806.68,8e-05,0
9,565,439,840,2,202492,159687,42805,78.86,0.000284,6540934.87,0.000564,0
19,482,559,992,7,1224790,766262,458528,62.56,3.1e-05,31386112.37,0.000117,0
47,432,471,986,6,2807629,1868475,939154,66.55,0.000108,76533137.29,4.8e-05,0
25,598,572,606,5,2027618,1193021,834597,58.84,2.9e-05,48866498.55,7.5e-05,0
42,438,524,975,8,3492577,2168922,1323655,62.1,7.1e-05,88839298.66,4.1e-05,1
28,414,520,904,4,1381846,776015,605831,56.16,6.2e-05,31786003.83,0.000116,0
47,434,492,786,3,1864160,1247662,616498,66.93,0.000146,51105072.8,7.2e-05,0
20,457,554,956,1,263456,177764,85692,67.47,0.000489,7281647.35,0.000506,0
25,503,533,821,2,674051,401923,272128,59.63,0.000144,16462813.47,0.000224,0
19,458,491,976,4,807253,466818,340435,57.83,6.6e-05,19121068.54,0.000193,0
8,510,407,858,4,408392,261114,147278,63.94,0.000105,10695328.16,0.000345,0
14,570,537,884,9,1186808,854015,332793,71.96,2.3e-05,34980500.38,0.000105,0
45,435,419,593,4,3179729,1882265,1297464,59.2,7.1e-05,77097855.81,4.8e-05,0
46,405,483,813,4,2406093,1522874,883219,63.29,0.000112,62377464.84,5.9e-05,0
