Nodes,X,Y,PacketSize,Rate,PacketsSent,PacketsReceived,PacketLoss,PacketDeliveryRatio,AvgDelay,Throughput,AvgJitter,Congestion
29,432,446,821,6,2201063,1256919,944144,57.11,4.8e-05,51483845.17,7.2e-05,0
21,486,438,733,6,1823904,993372,830532,54.46,3.3e-05,40688631.18,9.1e-05,1
16,421,594,661,1,306635,202048,104587,65.89,0.000395,8275927.66,0.000445,0
17,471,582,566,5,1537770,868646,669124,56.49,3.3e-05,35579932.79,0.000104,0
23,574,473,571,6,2447692,1384636,1063056,56.57,2.5e-05,56714961.47,6.5e-05,0
20,553,437,786,8,2293247,1209921,1083326,52.76,2.2e-05,49558669.94,7.4e-05,1
39,527,557,713,3,1520550,1107478,413072,72.83,0.000125,45362307.61,8.1e-05,0
27,531,404,773,6,2228948,1218771,1010177,54.68,3.5e-05,49920910.25,7.4e-05,1
34,474,598,1013,3,2139550,1225078,914472,57.26,5.1e-05,50180375.96,7.3e-05,0
7,534,483,1011,8,1106467,581490,524977,52.55,3.2e-05,23818010.23,0.000155,1
8,445,437,935,9,901518,482331,419187,53.5,3.7e-05,19756399.26,0.000187,1
49,423,509,544,10,9224621,5175079,4049542,56.1,2.3e-05,211971616.96,1.7e-05,1
28,475,493,549,1,619398,388735,230663,62.76,0.000242,15923143.39,0.000232,0
47,551,445,713,6,3812481,2472681,1339800,64.86,7.8e-05,101281380.06,3.6e-05,1
33,587,586,902,9,3098508,1891183,1207325,61.04,2.6e-05,77463180.59,4.8e-05,0
19,453,519,645,2,669258,386245,283013,57.71,0.00013,15820885.51,0.000233,0
40,551,471,614,6,4153826,2356766,1797060,56.74,3.8e-05,96533785.68,3.8e-05,1
16,522,594,823,7,1281449,820956,460493,64.06,2.7e-05,33626511.53,0.00011,0
10,441,566,726,7,1046371,602886,443485,57.62,3.8e-05,24694219.63,0.000149,0
41,544,549,964,2,856881,649723,207158,75.82,0.000216,26612902.91,0.000139,0
24,598,541,916,10,2566391,1538432,1027959,59.95,1.8e-05,63014433.21,5.9e-05,0
40,442,553,558,5,3631978,2238287,1393691,61.63,6.1e-05,91680582.26,4e-05,1
46,510,530,575,3,2384717,1649755,734962,69.18,0.00012,67573988.81,5.5e-05,0
48,581,531,704,1,726887,765035,-38148,105.25,0.000374,31336026.32,0.000118,0
45,404,488,749,4,2514297,1504701,1009596,59.85,7.9e-05,61632636.16,6e-05,0
22,406,531,844,4,1159005,660629,498376,57.0,6.6e-05,27059601.69,0.000136,0
49,554,408,757,3,1890913,1389295,501618,73.47,0.00016,56905603.3,6.5e-05,0
16,416,512,630,2,621234,355665,265569,57.25,0.000134,14568139.65,0.000253,0
46,507,548,986,1,524057,522155,1902,99.64,0.000426,21387492.58,0.000172,0
12,464,592,876,8,1250441,669309,581132,53.53,3e-05,27415064.15,0.000134,1
17,498,588,860,7,1405382,787305,618077,56.02,2.8e-05,32248247.98,0.000114,1
12,478,507,660,3,632636,373401,259235,59.02,9.7e-05,15294599.02,0.000241,0
33,498,544,900,3,1173811,697167,476644,59.39,9.5e-05,28555960.32,0.000129,0
34,427,534,742,4,1932531,1180708,751823,61.1,8.1e-05,48362433.71,7.6e-05,0
46,410,491,865,7,3792143,2378406,1413737,62.72,8.1e-05,97419524.57,3.8e-05,1
37,463,550,991,9,3387279,1954849,1432430,57.71,3.5e-05,80070965.84,4.6e-05,1
7,595,426,732,10,661160,518994,142166,78.5,3.5e-05,21258008.91,0.000173,0
37,583,499,616,4,2504866,1440487,1064379,57.51,4.9e-05,59002348.72,6.2e-05,0
19,566,472,558,1,406027,256307,149720,63.13,0.000307,10498468.16,0.000351,0
44,548,447,842,7,3745999,2295466,1450533,61.28,6.9e-05,94022549.68,3.9e-05,1
14,527,458,521,8,2130649,1286080,844569,60.36,1.8e-05,52678021.7,7e-05,0
15,562,434,670,3,740993,416979,324014,56.27,8.5e-05,17079496.56,0.000216,0
34,510,588,555,10,6098872,3573129,2525743,58.59,1.7e-05,146355783.88,2.5e-05,1
46,564,503,745,10,6271121,3693787,2577334,58.9,3.5e-05,151298119.2,2.4e-05,1
34,579,522,889,8,3008358,1852291,1156067,61.57,4.1e-05,75870053.31,4.9e-05,0
14,405,415,675,2,517564,297740,219824,57.53,0.000157,12195537.11,0.000302,0
48,464,519,1022,3,2940352,1894264,1046088,64.42,0.000114,77589059.62,4.8e-05,0
14,401,555,876,4,755938,412081,343857,54.51,6.9e-05,16879088.75,0.000218,1
25,427,531,712,8,3023517,1588013,1435504,52.52,1.8e-05,65045225.18,5.7e-05,1
15,474,449,851,7,1325794,701966,623828,52.95,3e-05,28752573.41,0.000128,1
43,506,593,981,10,4332057,2613468,1718589,60.33,5e-05,107048156.37,3.4e-05,1
15,475,557,921,1,186954,137915,49039,73.77,0.000605,5649247.32,0.000653,0
48,497,536,600,5,4152828,2529045,1623783,60.9,7.2e-05,103590651.77,3.6e-05,1
38,465,578,601,7,4659277,2636189,2023088,56.58,3e-05,107978729.81,3.4e-05,1
50,477,568,793,2,1234697,1113737,120960,90.2,0.000253,45618890.18,8.1e-05,0
46,477,556,605,3,2325799,1505547,820252,64.73,9.6e-05,61667313.04,6e-05,0
19,425,502,816,8,1940052,1059773,880279,54.63,2.8e-05,43408332.9,8.5e-05,1
41,403,583,780,7,3691044,2182487,1508557,59.13,4.6e-05,89394967.06,4.1e-05,1
30,421,460,917,6,2095897,1201012,894885,57.3,4.7e-05,49193560.83,7.5e-05,0
47,447,456,529,9,8019709,4690705,3329004,58.49,3.8e-05,192132010.96,1.9e-05,1
43,521,432,867,5,2504841,1600628,904213,63.9,0.000102,65561734.17,5.6e-05,0
7,521,508,911,5,410513,235051,175462,57.26,0.000103,9627733.54,0.000383,0
26,420,495,884,2,664455,405752,258703,61.07,0.000153,16619603.43,0.000222,0
44,556,576,766,4,2272721,1511364,761357,66.5,9.5e-05,61905610.7,6e-05,0
